jp_name,jp_team,en_name,en_team
ゲラ,阪神タイガース,"Guerra, Javy",Hanshin Tigers
岩崎 優,阪神タイガース,"Iwazaki, Suguru",Hanshin Tigers
岩貞 祐太,阪神タイガース,"Iwasada, Yuta",Hanshin Tigers
西 純矢,阪神タイガース,"Nishi, Junya",Hanshin Tigers
西 勇輝,阪神タイガース,"Nishi, Yuki",Hanshin Tigers
青柳 晃洋,阪神タイガース,"Aoyagi, Koyo",Hanshin Tigers
下村 海翔,阪神タイガース,"Shimomura, Kaito",Hanshin Tigers
森木 大智,阪神タイガース,"Moriki, Daichi",Hanshin Tigers
秋山 拓巳,阪神タイガース,"Akiyama, Takumi",Hanshin Tigers
椎葉 剛,阪神タイガース,"Shiiba, Tsuyoshi",Hanshin Tigers
伊藤 将司,阪神タイガース,"Itoh, Masashi",Hanshin Tigers
鈴木 勇斗,阪神タイガース,"Suzuki, Yuto",Hanshin Tigers
髙橋 遥人,阪神タイガース,"Takahashi, Haruto",Hanshin Tigers
門別 啓人,阪神タイガース,"Mombetsu, Keito",Hanshin Tigers
漆原 大晟,阪神タイガース,"Urushihara, Taisei",Hanshin Tigers
才木 浩人,阪神タイガース,"Saiki, Hiroto",Hanshin Tigers
浜地 真澄,阪神タイガース,"Hamachi, Masumi",Hanshin Tigers
及川 雅貴,阪神タイガース,"Oyokawa, Masaki",Hanshin Tigers
村上 頌樹,阪神タイガース,"Murakami, Shoki",Hanshin Tigers
島本 浩也,阪神タイガース,"Shimamoto, Hiroya",Hanshin Tigers
桐敷 拓馬,阪神タイガース,"Kirishiki, Takuma",Hanshin Tigers
茨木 秀俊,阪神タイガース,"Ibaragi, Hidetoshi",Hanshin Tigers
大竹 耕太郎,阪神タイガース,"Ohtake, Koutaro",Hanshin Tigers
富田 蓮,阪神タイガース,"Tomida, Ren",Hanshin Tigers
加治屋 蓮,阪神タイガース,"Kajiya, Ren",Hanshin Tigers
石黒 佑弥,阪神タイガース,"Ishiguro, Yuya",Hanshin Tigers
岡留 英貴,阪神タイガース,"Okadome, Hidetaka",Hanshin Tigers
湯浅 京己,阪神タイガース,"Yuasa, Atsuki",Hanshin Tigers
津田 淳哉,阪神タイガース,"Tsuda, Junya",Hanshin Tigers
石井 大智,阪神タイガース,"Ishii, Daichi",Hanshin Tigers
川原 陸,阪神タイガース,"Kawahara, Riku",Hanshin Tigers
岩田 将貴,阪神タイガース,"Iwata, Masaki",Hanshin Tigers
佐藤 蓮,阪神タイガース,"Satoh, Ren",Hanshin Tigers
ビーズリー,阪神タイガース,"Beasley, Jeremy",Hanshin Tigers
梅野 隆太郎,阪神タイガース,"Umeno, Ryutaro",Hanshin Tigers
坂本 誠志郎,阪神タイガース,"Sakamoto, Seishiro",Hanshin Tigers
榮枝 裕貴,阪神タイガース,"Sakaeda, Yuki",Hanshin Tigers
長坂 拳弥,阪神タイガース,"Nagasaka, Kenya",Hanshin Tigers
藤田 健斗,阪神タイガース,"Fujita, Kento",Hanshin Tigers
中川 勇斗,阪神タイガース,"Nakagawa, Hayato",Hanshin Tigers
片山 雄哉,阪神タイガース,"Katayama, Yuya",Hanshin Tigers
木浪 聖也,阪神タイガース,"Kinami, Seiya",Hanshin Tigers
大山 悠輔,阪神タイガース,"Ohyama, Yusuke",Hanshin Tigers
熊谷 敬宥,阪神タイガース,"Kumagai, Takahiro",Hanshin Tigers
佐藤 輝明,阪神タイガース,"Sato, Teruaki",Hanshin Tigers
渡邉 諒,阪神タイガース,"Watanabe, Ryo",Hanshin Tigers
糸原 健斗,阪神タイガース,"Itohara, Kento",Hanshin Tigers
小幡 竜平,阪神タイガース,"Obata, Ryuhei",Hanshin Tigers
戸井 零士,阪神タイガース,"Toi, Reiji",Hanshin Tigers
遠藤 成,阪神タイガース,"Endo, Jo",Hanshin Tigers
中野 拓夢,阪神タイガース,"Nakano, Takumu",Hanshin Tigers
山田 脩也,阪神タイガース,"Yamada, Shuya",Hanshin Tigers
百﨑 蒼生,阪神タイガース,"Momosaki, Aoi",Hanshin Tigers
植田 海,阪神タイガース,"Ueda, Kai",Hanshin Tigers
髙寺 望夢,阪神タイガース,"Takatera, Nozomu",Hanshin Tigers
原口 文仁,阪神タイガース,"Haraguchi, Fumihito",Hanshin Tigers
森下 翔太,阪神タイガース,"Morishita, Shota",Hanshin Tigers
近本 光司,阪神タイガース,"Chikamoto, Koji",Hanshin Tigers
ノイジー,阪神タイガース,"Neuse, Sheldon",Hanshin Tigers
井上 広大,阪神タイガース,"Inoue, Kouta",Hanshin Tigers
井坪 陽生,阪神タイガース,"Itsubo, Hinase",Hanshin Tigers
髙濱 祐仁,阪神タイガース,"Takahama, Yuto",Hanshin Tigers
島田 海吏,阪神タイガース,"Shimada, Kairi",Hanshin Tigers
ミエセス,阪神タイガース,"Mieses, Johan",Hanshin Tigers
前川 右京,阪神タイガース,"Maegawa, Ukyo",Hanshin Tigers
小野寺 暖,阪神タイガース,"Onodera, Dan",Hanshin Tigers
豊田 寛,阪神タイガース,"Toyoda, Hiroshi",Hanshin Tigers
野口 恭佑,阪神タイガース,"Noguchi, Kyosuke",Hanshin Tigers
小川 一平,阪神タイガース,"Ogawa, Ippei",Hanshin Tigers
松原 快,阪神タイガース,"Matsubara, Kai",Hanshin Tigers
伊藤 稜,阪神タイガース,"Itoh, Ryo",Hanshin Tigers
ベタンセス,阪神タイガース,"Betances, Jose",Hanshin Tigers
マルティネス,阪神タイガース,"Martinez, Anthony",Hanshin Tigers
福島 圭音,阪神タイガース,"Fukushima, Kein",Hanshin Tigers
九里 亜蓮,広島東洋カープ,"Kuri, Aren",Hiroshima Carp
大道 温貴,広島東洋カープ,"Ohmichi, Haruki",Hiroshima Carp
森浦 大輔,広島東洋カープ,"Moriura, Daisuke",Hiroshima Carp
大瀬良 大地,広島東洋カープ,"Ohsera, Daichi",Hiroshima Carp
森 翔平,広島東洋カープ,"Mori, Shohei",Hiroshima Carp
常廣 羽也斗,広島東洋カープ,"Tsunehiro, Hayato",Hiroshima Carp
森下 暢仁,広島東洋カープ,"Morishita, Masato",Hiroshima Carp
野村 祐輔,広島東洋カープ,"Nomura, Yusuke",Hiroshima Carp
栗林 良吏,広島東洋カープ,"Kuribayashi, Ryoji",Hiroshima Carp
中﨑 翔太,広島東洋カープ,"Nakazaki, Shota",Hiroshima Carp
髙 太一,広島東洋カープ,"Taka, Taichi",Hiroshima Carp
黒原 拓未,広島東洋カープ,"Kurohara, Takumi",Hiroshima Carp
益田 武尚,広島東洋カープ,"Masuda, Takehisa",Hiroshima Carp
床田 寛樹,広島東洋カープ,"Tokoda, Hiroki",Hiroshima Carp
ケムナ 誠,広島東洋カープ,"Kemna, Makoto",Hiroshima Carp
滝田 一希,広島東洋カープ,"Takita, Kazuki",Hiroshima Carp
