Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
アルカンタラ,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,3.15,4.80,0.00,999,101,140,-3.15,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
スアレス,5.0,0.0,0.0,0.0,0.0,0.0,23.0,6.1,1.0,0.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,1.42,2.68,3.50,0.63,150,86,102,-1.26,0.0%,26.1%,13.0%,13.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
デラロサ,3.0,0.0,0.0,0.0,0.0,0.0,13.0,2.2,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,6.75,3.90,4.80,1.88,34,117,140,2.85,0.0%,15.4%,15.4%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
バルガス,3.0,0.0,0.0,0.0,0.0,0.0,18.0,4.1,2.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,2.08,3.85,4.80,1.15,102,125,140,-1.77,0.0%,16.7%,16.7%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
ヒギンス,5.0,0.0,0.0,0.0,0.0,0.0,23.0,4.1,6.0,3.0,6.0,4.0,0.0,0.0,0.0,6.0,6.0,12.46,12.15,3.93,2.31,17,393,115,0.31,13.0%,26.1%,17.4%,8.7%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
ビエイラ,2.0,0.0,0.0,1.0,0.0,0.0,10.0,1.2,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.00,4.95,4.80,3.00,999,149,140,-4.95,0.0%,30.0%,30.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
マクガフ,7.0,1.0,2.0,2.0,0.0,0.0,32.0,7.1,6.0,1.0,8.0,2.0,1.0,1.0,0.0,4.0,4.0,4.91,3.97,2.92,1.09,47,119,85,0.94,3.1%,25.0%,6.2%,18.8%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
メルセデス,1.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.00,3.82,4.37,0.67,999,115,128,-3.82,0.0%,17.4%,13.0%,4.4%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
中川　皓太,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.30,3.37,0.43,999,69,99,-2.30,0.0%,14.3%,0.0%,14.3%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
今野　龍太,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,3.15,4.80,1.50,999,95,140,-3.15,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
伊藤　将司,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.1,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,2.40,3.13,1.50,999,77,92,-2.40,0.0%,33.3%,16.7%,16.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
佐々木　千隼,3.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.00,5.49,6.34,1.33,999,168,185,-5.49,0.0%,7.7%,23.1%,-15.4%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
佐々木　朗希,1.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,4.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.00,0.82,1.60,1.00,999,25,47,-0.82,0.0%,40.0%,8.0%,32.0%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
則本　昂大,1.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,6.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,6.75,3.15,4.30,2.00,32,101,126,3.60,0.0%,15.0%,10.0%,5.0%,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
原　樹理,2.0,0.0,0.0,0.0,0.0,0.0,28.0,7.0,7.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.29,3.01,4.09,1.00,178,90,120,-1.72,0.0%,7.1%,0.0%,7.1%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
及川　雅貴,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,13.50,7.65,6.80,4.50,16,246,199,5.85,0.0%,0.0%,20.0%,-20.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
吉田　凌,7.0,0.0,2.0,0.0,0.0,0.0,22.0,5.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,3.60,3.75,2.53,1.40,59,121,74,-0.15,4.5%,22.7%,0.0%,22.7%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
唐川　侑己,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,5.40,6.47,1.50,999,165,189,-5.40,0.0%,0.0%,16.7%,-16.7%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
国吉　佑樹,3.0,0.0,0.0,0.0,0.0,0.0,11.0,2.1,1.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,3.0,11.57,5.30,5.71,1.71,19,162,167,6.27,0.0%,18.2%,27.3%,-9.1%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
増井　浩俊,2.0,0.0,1.0,0.0,0.0,0.0,8.0,1.2,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,5.40,7.35,7.30,2.40,39,238,213,-1.95,0.0%,12.5%,37.5%,-25.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
大江　竜聖,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,3.15,4.80,0.00,999,95,140,-3.15,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
大西　広樹,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.00,1.15,2.80,2.00,25,35,82,7.85,0.0%,20.0%,0.0%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
奥川　恭伸,2.0,1.0,0.0,0.0,1.0,1.0,61.0,16.0,12.0,1.0,12.0,2.0,0.0,0.0,0.0,1.0,1.0,0.56,2.84,3.16,0.88,407,85,92,-2.28,1.6%,19.7%,3.3%,16.4%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
安樂　智大,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.50,7.65,1.94,1.00,48,245,57,-3.15,14.3%,28.6%,0.0%,28.6%,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
宋　家豪,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,27.00,12.15,4.80,3.00,8,389,140,14.85,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
宮城　大弥,1.0,0.0,1.0,0.0,0.0,0.0,29.0,7.2,5.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.17,1.72,2.73,0.78,181,56,80,-0.55,0.0%,24.1%,3.4%,20.7%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
富山　凌雅,4.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.65,2.30,0.25,999,53,67,-1.65,0.0%,25.0%,0.0%,25.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
小島　和哉,1.0,0.0,0.0,0.0,0.0,0.0,31.0,6.1,10.0,1.0,6.0,2.0,0.0,0.0,0.0,4.0,4.0,5.68,4.26,3.51,1.89,40,130,103,1.42,3.2%,19.4%,6.5%,12.9%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
小川　泰弘,1.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,5.0,1.0,7.0,1.0,0.0,0.0,0.0,3.0,2.0,3.00,3.49,2.40,1.00,76,105,70,-0.49,4.0%,28.0%,4.0%,24.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
小林　慶祐,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00,3.15,4.80,0.00,999,101,140,-3.15,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
小野　郁,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00,6.15,6.80,2.00,999,188,199,-6.15,0.0%,0.0%,20.0%,-20.0%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
山口　俊,1.0,0.0,1.0,0.0,0.0,0.0,18.0,4.0,3.0,1.0,4.0,4.0,1.0,0.0,1.0,3.0,3.0,6.75,7.40,4.80,1.75,34,222,140,-0.65,5.6%,22.2%,22.2%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
山岡　泰輔,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,7.65,8.13,1.50,999,248,238,-7.65,0.0%,0.0%,33.3%,-33.3%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
山本　由伸,3.0,1.0,0.0,0.0,1.0,1.0,90.0,24.0,15.0,0.0,30.0,3.0,0.0,1.0,0.0,2.0,2.0,0.75,1.15,1.80,0.75,283,37,53,-0.40,0.0%,33.3%,3.3%,30.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
山﨑　福也,1.0,0.0,0.0,0.0,0.0,0.0,23.0,5.2,5.0,1.0,5.0,2.0,0.0,0.0,0.0,2.0,2.0,3.18,4.74,3.50,1.24,67,153,102,-1.56,4.3%,21.7%,8.7%,13.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
山﨑　颯一郎,2.0,0.0,0.0,0.0,0.0,0.0,33.0,7.2,8.0,1.0,6.0,3.0,0.0,0.0,0.0,2.0,2.0,2.35,4.46,3.89,1.43,91,144,114,-2.11,3.0%,18.2%,9.1%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
岩下　大輝,1.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,3.0,1.0,9.0,1.0,1.0,0.0,0.0,2.0,2.0,3.00,2.82,1.16,0.67,75,86,34,0.18,4.5%,40.9%,4.5%,36.4%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
岩崎　優,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.00,3.90,4.80,1.50,999,126,140,-3.90,0.0%,14.3%,14.3%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
岸　孝之,1.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,6.0,0.0,5.0,2.0,1.0,0.0,0.0,2.0,2.0,3.60,2.35,3.44,1.60,60,75,101,1.25,0.0%,22.7%,9.1%,13.6%,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
平野　佳寿,3.0,0.0,0.0,2.0,0.0,0.0,11.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,2.15,2.98,0.67,999,70,87,-2.15,0.0%,27.3%,9.1%,18.2%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
