Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
青柳　晃洋,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,Hanshin Tigers,
伊藤　将司,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
糸原　健斗,3,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,.000,.000,.000,Hanshin Tigers,
岩崎　優,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
岩貞　祐太,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
梅野　隆太郎,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
江越　大賀,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
大山　悠輔,3,11,9,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,.000,.000,.182,Hanshin Tigers,
小幡　竜平,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,.000,.000,.000,Hanshin Tigers,
熊谷　敬宥,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
ケラー,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
才木　浩人,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
坂本　誠志郎,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
佐藤　輝明,3,11,10,1,2,0,0,1,5,1,0,0,0,0,1,0,0,4,0,.200,.500,.273,Hanshin Tigers,
島田　海吏,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,.000,.000,.500,Hanshin Tigers,
髙寺　望夢,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Hanshin Tigers,
近本　光司,3,12,11,1,5,1,0,0,6,3,1,0,0,0,1,0,0,0,0,.455,.545,.500,Hanshin Tigers,
中野　拓夢,3,13,12,1,6,0,0,0,6,0,2,0,0,0,1,0,0,1,0,.500,.500,.538,Hanshin Tigers,
西　純矢,2,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,2.000,1.000,Hanshin Tigers,
浜地　真澄,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
原口　文仁,3,11,10,0,1,0,0,0,1,1,0,0,1,0,0,0,0,3,0,.100,.100,.100,Hanshin Tigers,
北條　史也,3,5,4,0,1,1,0,0,2,0,0,0,1,0,0,0,0,2,0,.250,.500,.250,Hanshin Tigers,
マルテ,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.500,Hanshin Tigers,
湯浅　京己,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
陽川　尚将,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,Hanshin Tigers,
ロハス・ジュニア,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Hanshin Tigers,
伊勢　大夢,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
伊藤　光,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,DeNA BayStars,
