   Pitcher  G  W  L  SV  CG  SHO  BF    IP   H  HR  SO  BB  IBB  HB  WP  R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%      K%    BB%   K-BB%             Team League
0    エスコバー  2  0  0   0   0    0   9   2.0   2   0   2   1    0   0   0  0   0   0.00   2.60   3.69  1.50  999   70    103   -2.60   0.0%   22.2%  11.1%   11.1%    DeNA BayStars     CL
1      ケラー  4  0  0   0   0    0  13   3.1   1   0   5   2    0   0   0  0   0   0.00   1.90   2.49  0.90  999   54     69   -1.90   0.0%   38.5%  15.4%   23.1%   Hanshin Tigers     CL
2   サイスニード  3  1  1   0   0    0  68  14.1  19   1  12   4    1   2   0  8   4   2.51   3.59   3.62  1.60  112   95    101   -1.08   1.5%   17.6%   5.9%   11.7%  Yakult Swallows     CL
3      スミス  2  0  0   0   0    0   7   2.0   0   0   1   0    0   0   0  0   0   0.00   2.10   3.37  0.00  999   58     94   -2.10   0.0%   14.3%   0.0%   14.3%      Seibu Lions     PL
4     マクガフ  6  0  1   3   0    0  28   5.1   7   1   5   4    0   0   0  6   3   5.06   5.92   4.44  2.06   56  157    124   -0.86   3.6%   17.9%  14.3%    3.6%  Yakult Swallows     CL
5     モイネロ  3  0  1   2   0    0  14   2.2   5   0   3   1    0   0   0  1   1   3.38   1.98   3.37  2.25   78   56     94    1.40   0.0%   21.4%   7.1%   14.3%   SoftBank Hawks     PL
6       レイ  1  0  0   0   0    0   5   1.0   1   1   1   0    0   0   0  1   1   9.00  14.10   2.80  1.00   29  400     78   -5.10  20.0%   20.0%   0.0%   20.0%   SoftBank Hawks     PL
7   ワゲスパック  6  1  0   3   0    0  24   6.0   4   0   9   2    0   0   0  0   0   0.00   1.10   1.88  1.00  999   32     52   -1.10   0.0%   37.5%   8.3%   29.2%   ORIX Buffaloes     PL
8    久保　拓眞  3  0  0   0   0    0   5   1.0   1   0   0   1    0   0   0  0   0   0.00   6.10   6.80  2.00  999  162    189   -6.10   0.0%    0.0%  20.0%  -20.0%  Yakult Swallows     CL
9    今井　達也  1  0  1   0   0    0  18   4.0   4   1   3   2    0   1   0  5   5  11.25   7.10   4.24  1.50   24  197    118    4.15   5.6%   16.7%  11.1%    5.6%      Seibu Lions     PL
10   今永　昇太  1  0  1   0   0    0  24   5.0   7   0   3   2    1   0   0  2   2   3.60   3.10   4.38  1.80   77   84    122    0.50   0.0%   12.5%   8.3%    4.2%    DeNA BayStars     CL
11   今野　龍太  2  0  0   0   0    0  12   3.0   0   0   1   3    0   0   0  0   0   0.00   5.44   6.47  1.00  999  144    180   -5.44   0.0%    8.3%  25.0%  -16.7%  Yakult Swallows     CL
12   伊勢　大夢  3  0  0   0   0    0  13   3.2   0   0   3   2    0   0   0  0   0   0.00   3.10   4.03  0.55  999   84    112   -3.10   0.0%   23.1%  15.4%    7.7%    DeNA BayStars     CL
13   伊藤　将司  1  0  1   0   0    0  18   5.0   4   0   3   0    0   0   0  1   1   1.80   1.90   3.13  0.80  145   54     87   -0.10   0.0%   16.7%   0.0%   16.7%   Hanshin Tigers     CL
14   入江　大生  2  0  0   0   0    0  10   3.0   2   0   2   0    0   0   0  0   0   0.00   1.77   2.80  0.67  999   48     78   -1.77   0.0%   20.0%   0.0%   20.0%    DeNA BayStars     CL
15   公文　克彦  1  0  0   0   0    0   1   0.1   0   0   1   0    0   0   0  0   0   0.00  -2.90  -5.20  0.00  999  -80   -145    2.90   0.0%  100.0%   0.0%  100.0%      Seibu Lions     PL
16   加治屋　蓮  2  0  0   0   0    0  13   3.0   2   1   2   2    0   0   0  2   2   6.00   8.10   4.80  1.33   44  231    134   -2.10   7.7%   15.4%  15.4%    0.0%   Hanshin Tigers     CL
17   千賀　滉大  2  2  0   0   0    0  53  14.0   7   1  16   5    1   0   0  3   2   1.29   2.82   2.72  0.86  204   80     76   -1.53   1.9%   30.2%   9.4%   20.8%   SoftBank Hawks     PL
18    和田　毅  1  0  0   0   0    0  18   4.1   3   1   2   1    0   0   0  2   2   4.15   5.87   4.24  0.92   63  167    118   -1.72   5.6%   11.1%   5.6%    5.5%   SoftBank Hawks     PL
19  嘉弥真　新也  2  0  0   0   0    0   4   1.0   1   0   0   0    0   0   0  0   0   0.00   3.10   4.80  1.00  999   88    134   -3.10   0.0%    0.0%   0.0%    0.0%   SoftBank Hawks     PL
20   増田　達至  1  0  0   0   0    0   5   0.2   3   0   0   0    0   0   0  2   2  27.00   3.10   4.80  4.50   10   86    134   23.90   0.0%    0.0%   0.0%    0.0%      Seibu Lions     PL
21   大西　広樹  2  0  0   0   0    0  12   2.1   3   0   2   2    1   0   0  1   1   3.86   3.96   4.80  2.14   73  105    134   -0.10   0.0%   16.7%  16.7%    0.0%  Yakult Swallows     CL
22   大貫　晋一  1  1  0   0   0    0  20   6.1   2   0  10   0    0   0   0  0   0   0.00  -0.05  -0.20  0.32  999   -1     -6    0.05   0.0%   50.0%   0.0%   50.0%    DeNA BayStars     CL
23   大関　友久  4  0  1   0   0    0  22   5.0   4   1   1   3    1   0   0  4   4   7.20   7.10   5.71  1.40   36  201    159    0.10   4.5%    4.5%  13.6%   -9.1%   SoftBank Hawks     PL
24  宇田川　優希  6  1  0   0   0    0  35   8.2   3   0  14   6    0   0   1  0   0   0.00   1.95   2.51  1.04  999   56     70   -1.95   0.0%   40.0%  17.1%   22.9%   ORIX Buffaloes     PL
25   宮城　大弥  3  2  1   0   0    0  62  15.1  14   1  17   2    0   0   0  5   5   2.93   2.12   2.38  1.04   88   61     66    0.81   1.6%   27.4%   3.2%   24.2%   ORIX Buffaloes     PL
26   小川　泰弘  3  2  1   0   0    0  74  17.2  16   0  13   6    1   2   0  4   4   2.04   2.99   3.85  1.25  138   79    107   -0.95   0.0%   17.6%   8.1%    9.5%  Yakult Swallows     CL
27   小澤　怜史  1  0  0   0   0    0   5   0.2   3   0   0   0    0   0   0  1   1  13.50   3.10   4.80  4.50   21   82    134   10.40   0.0%    0.0%   0.0%    0.0%  Yakult Swallows     CL
28    山下　輝  1  0  0   0   0    0  24   5.0   7   1   2   1    0   1   0  3   3   5.40   6.10   4.38  1.60   52  162    122   -0.70   4.2%    8.3%   4.2%    4.1%  Yakult Swallows     CL
29   山岡　泰輔  2  0  0   0   0    0  33   8.1   7   0   5   2    0   0   0  0   0   0.00   2.62   3.89  1.08  999   76    108   -2.62   0.0%   15.2%   6.1%    9.1%   ORIX Buffaloes     PL
30   山本　由伸  2  1  1   0   0    0  46  12.0   9   2  14   1    0   0   0  4   4   3.00   3.19   1.97  0.83   86   92     55   -0.19   4.3%   30.4%   2.2%   28.2%   ORIX Buffaloes     PL
31   山﨑　康晃  2  0  0   1   0    0   6   2.0   0   0   3   0    0   0   0  0   0   0.00   0.10  -0.20  0.00  999    3     -6   -0.10   0.0%   50.0%   0.0%   50.0%    DeNA BayStars     CL
32   山﨑　福也  2  1  0   0   0    0  36   9.0   5   0   8   5    1   0   0  0   0   0.00   2.99   3.97  1.11  999   86    111   -2.99   0.0%   22.2%  13.9%    8.3%   ORIX Buffaloes     PL
33  山﨑　颯一郎  6  0  0   0   0    0  32   8.1   6   2   8   2    0   0   0  6   6   6.48   5.02   2.92  0.96   40  145     81    1.46   6.2%   25.0%   6.2%   18.8%   ORIX Buffaloes     PL
34    岩崎　優  1  0  0   0   0    0   4   0.2   0   0   0   1    0   0   0  0   0   0.00   7.60   7.30  1.50  999  217    203   -7.60   0.0%    0.0%  25.0%  -25.0%   Hanshin Tigers     CL
35   岩貞　祐太  3  1  0   0   0    0   9   2.2   0   0   2   1    0   0   0  1   1   3.38   2.73   3.69  0.38   77   78    103    0.65   0.0%   22.2%  11.1%   11.1%   Hanshin Tigers     CL
36   島本　浩也  2  0  0   0   0    0  10   2.0   0   0   2   4    1   0   0  0   0   0.00   7.10   6.80  2.00  999  203    189   -7.10   0.0%   20.0%  40.0%  -20.0%   Hanshin Tigers     CL
37   平良　海馬  1  0  0   0   0    0   6   1.0   3   0   2   0    0   0   0  1   1   9.00  -0.90   1.47  3.00   30  -25     41    9.90   0.0%   33.3%   0.0%   33.3%      Seibu Lions     PL
38   平野　佳寿  4  0  0   0   0    0  15   4.0   4   1   4   0    0   0   0  1   1   2.25   4.35   2.13  1.00  115  125     59   -2.10   6.7%   26.7%   0.0%   26.7%   ORIX Buffaloes     PL
39   才木　浩人  1  0  0   0   0    0  12   2.1   2   1   2   2    0   0   1  2   2   7.71   9.53   4.80  1.71   34  272    134   -1.82   8.3%   16.7%  16.7%    0.0%   Hanshin Tigers     CL
40   木澤　尚文  5  0  0   0   0    0  22   5.1   5   0   2   2    0   0   1  0   0   0.00   3.48   4.80  1.31  999   92    134   -3.48   0.0%    9.1%   9.1%    0.0%  Yakult Swallows     CL
41   本田　仁海  4  0  0   0   0    0  21   4.2   5   0   4   3    0   1   0  3   2   3.86   3.96   4.32  1.71   67  114    120   -0.10   0.0%   19.0%  14.3%    4.7%   ORIX Buffaloes     PL
42   本田　圭佑  1  0  0   0   0    0   4   1.0   1   0   0   0    0   0   0  0   0   0.00   3.10   4.80  1.00  999   86    134   -3.10   0.0%    0.0%   0.0%    0.0%      Seibu Lions     PL
43    東浜　巨  1  1  0   0   0    0  20   5.0   4   0   3   1    0   0   0  1   1   1.80   2.50   3.80  1.00  146   71    106   -0.70   0.0%   15.0%   5.0%   10.0%   SoftBank Hawks     PL
44   松本　裕樹  3  0  0   0   0    0   7   2.1   0   0   2   0    0   0   0  0   0   0.00   1.39   1.94  0.00  999   39     54   -1.39   0.0%   28.6%   0.0%   28.6%   SoftBank Hawks     PL
45   板東　湧梧  1  0  0   0   0    0  15   2.1   8   0   1   0    0   1   1  2   2   7.71   3.53   4.13  3.43   34  100    115    4.18   0.0%    6.7%   0.0%    6.7%   SoftBank Hawks     PL
