Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
オグレディ,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.000,0.200,0.000,0.200,-35,0.000,0.000,40.0%,20.0%,20.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
オスナ,10.0,45.0,42.0,5.0,14.0,3.0,0.0,4.0,29.0,13.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,1.0,0.333,0.378,0.690,1.068,211,0.357,0.333,33.3%,17.8%,6.7%,0.38,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
オースティン,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.000,1.000,1.000,2.000,498,0.000,1.000,50.0%,0.0%,50.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
キブレハン,5.0,10.0,10.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.200,0.200,0.300,0.500,49,0.100,0.286,30.0%,30.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
グラシアル,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.667,107,0.000,0.500,33.3%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
サイスニード,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-95,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
サンタナ,10.0,37.0,30.0,3.0,7.0,0.0,0.0,2.0,13.0,4.0,0.0,0.0,0.0,1.0,13.0,6.0,0.0,0.0,0.0,0.233,0.351,0.433,0.785,133,0.200,0.312,56.8%,35.1%,16.2%,0.46,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
ソト,3.0,9.0,7.0,0.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.571,0.667,0.857,1.524,354,0.286,0.571,22.2%,0.0%,22.2%,1.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
デスパイネ,6.0,25.0,25.0,1.0,4.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.160,0.160,0.280,0.440,34,0.120,0.150,20.0%,16.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
マルテ,5.0,12.0,8.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.250,0.333,0.375,0.708,119,0.125,0.250,33.3%,16.7%,16.7%,1.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
リチャード,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
ロドリゲス,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-102,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
ロハス・ジュニア,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-102,0.000,0.000,66.7%,66.7%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
三森　大貴,6.0,26.0,23.0,4.0,4.0,3.0,0.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.174,0.192,0.304,0.497,52,0.130,0.267,34.6%,30.8%,3.8%,0.12,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
中川　圭太,11.0,50.0,46.0,7.0,13.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,1.0,0.0,0.283,0.340,0.326,0.666,108,0.043,0.371,28.0%,22.0%,6.0%,0.27,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
中村　剛也,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.500,0.500,0.500,1.000,206,0.000,1.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
中村　悠平,10.0,42.0,41.0,4.0,8.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,2.0,0.195,0.214,0.220,0.434,31,0.024,0.250,23.8%,21.4%,2.4%,0.11,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
中村　晃,6.0,16.0,16.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.188,0.188,0.188,0.375,15,0.000,0.231,18.8%,18.8%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
中野　拓夢,6.0,27.0,25.0,3.0,8.0,0.0,1.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.320,0.370,0.400,0.770,139,0.080,0.364,18.5%,11.1%,7.4%,0.67,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
丸山　和郁,10.0,10.0,9.0,2.0,4.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.444,0.500,0.556,1.056,212,0.111,0.667,40.0%,30.0%,10.0%,0.33,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
今宮　健太,6.0,22.0,19.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.105,0.182,0.105,0.287,-10,0.000,0.167,40.9%,31.8%,9.1%,0.29,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
今永　昇太,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-97,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
伊藤　光,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-97,0.000,0.000,25.0%,25.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
伊藤　将司,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
伏見　寅威,5.0,20.0,19.0,0.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.316,0.350,0.368,0.718,125,0.053,0.375,15.0%,15.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
佐藤　直樹,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
佐藤　輝明,6.0,21.0,19.0,1.0,3.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.158,0.238,0.316,0.554,70,0.158,0.200,52.4%,38.1%,9.5%,0.25,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
佐野　恵太,3.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.100,0.182,0.100,0.282,-12,0.000,0.111,18.2%,9.1%,9.1%,1.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
佐野　皓大,6.0,7.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.200,0.286,0.400,0.686,112,0.200,0.250,14.3%,14.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
内山　壮真,4.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,1.333,1.667,375,1.000,0.000,33.3%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
北條　史也,5.0,11.0,10.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.300,0.273,0.500,0.773,137,0.200,0.429,27.3%,27.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
原口　文仁,6.0,19.0,18.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.111,0.105,0.111,0.216,-35,0.000,0.154,26.3%,26.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
吉田　正尚,11.0,48.0,36.0,8.0,10.0,0.0,0.0,4.0,22.0,7.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0,2.0,1.0,0.278,0.458,0.611,1.069,233,0.333,0.194,31.2%,2.1%,20.8%,10.00,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
