Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
大道　温貴,2,0,0,0,0,0,0,.000,5,1,.1,1,0,0,0,0,1,0,0,0,0,0.00,Hiroshima Carp,
九里　亜蓮,1,0,0,0,0,0,0,.000,7,1,.2,2,0,0,0,0,0,0,0,0,0,0.00,Hiroshima Carp,
栗林　良吏,2,0,0,1,0,0,0,.000,8,2,,2,0,0,0,0,2,0,0,0,0,0.00,Hiroshima Carp,
島内　颯太郎,2,1,0,0,0,0,0,1.000,8,2,,0,0,2,0,0,3,0,0,0,0,0.00,Hiroshima Carp,
ターリー,2,1,0,0,0,0,0,1.000,4,1,,1,0,0,0,0,2,0,0,0,0,0.00,Hiroshima Carp,
床田　寛樹,1,0,0,0,0,0,0,.000,24,5,.1,8,1,1,0,0,0,0,0,2,2,3.38,Hiroshima Carp,
中﨑　翔太,1,0,0,0,0,0,0,.000,3,0,.1,2,0,0,0,0,0,0,0,2,2,54.00,Hiroshima Carp,
森下　暢仁,1,0,0,0,0,0,0,.000,20,5,.1,3,0,1,0,0,1,0,0,0,0,0.00,Hiroshima Carp,
矢崎　拓也,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,0,0,0,0,0,0.00,Hiroshima Carp,
東　克樹,1,0,0,0,0,0,0,.000,29,8,,5,0,2,0,0,5,0,0,2,2,2.25,DeNA BayStars,
石川　達也,1,0,0,0,0,0,0,.000,2,0,.2,0,0,0,0,0,1,0,0,0,0,0.00,DeNA BayStars,
伊勢　大夢,2,0,0,0,0,0,0,.000,7,1,.2,1,0,1,0,0,0,0,0,0,0,0.00,DeNA BayStars,
今永　昇太,1,0,0,0,0,0,0,.000,20,5,,4,2,1,0,0,3,0,0,2,2,3.60,DeNA BayStars,
ウェンデルケン,1,0,1,0,0,0,0,.000,5,0,.2,2,0,1,1,0,0,0,0,1,1,13.50,DeNA BayStars,
エスコバー,1,0,0,0,0,0,0,.000,2,0,.1,0,0,1,1,0,1,0,0,0,0,0.00,DeNA BayStars,
