                  Player   G  PA  AB   R   H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%     BB%  BB/K                Team League                          keys
0            Okoye Louis   6  20  19   1   3   1   0   0   4    0   0   0   1   0   9   0    0   0    0  0.158  0.150  0.211  0.361    11  0.053  0.300   45.0%   45.0%    0.0%  0.00      Yomiuri Giants     CL      (オコエ 瑠偉, Yomiuri Giants)
1           Austin Tyler  13  54  43   4  11   4   0   3  24    7   0   0   0   0  16  10    0   1    1  0.256  0.407  0.558  0.966   193  0.302  0.333   53.7%   29.6%   18.5%  0.62       DeNA BayStars     CL       (オースティン, DeNA BayStars)
2         Griffin Foster   1   1   1   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000         100.0%  100.0%    0.0%  0.00      Yomiuri Giants     CL       (グリフィン, Yomiuri Giants)
3            Kay Anthony   3   3   3   0   0   0   0   0   0    0   0   0   0   0   3   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000         100.0%  100.0%    0.0%  0.00       DeNA BayStars     CL           (ケイ, DeNA BayStars)
4          Jackson Andre   4   5   4   0   1   0   0   0   1    0   0   0   1   0   2   0    0   0    0  0.250  0.200  0.250  0.450    38  0.000  0.500   40.0%   40.0%    0.0%  0.00       DeNA BayStars     CL        (ジャクソン, DeNA BayStars)
5           Soto Neftali   3  12  10   0   0   0   0   0   0    0   0   0   0   0   3   2    1   0    1  0.000  0.167  0.000  0.167   -43  0.000  0.000   41.7%   25.0%   16.7%  0.67       Lotte Marines     PL           (ソト, Lotte Marines)
6            Downs Jeter   6  16  14   1   3   0   0   0   3    0   0   0   0   0   3   2    0   0    0  0.214  0.312  0.214  0.527    66  0.000  0.273   31.2%   18.8%   12.5%  0.67      SoftBank Hawks     PL        (ダウンズ, SoftBank Hawks)
7              Ford Mike  12  17  15   1   5   1   0   1   9    2   0   0   0   0   2   1    0   1    0  0.333  0.412  0.600  1.012   206  0.267  0.333   23.5%   11.8%    5.9%  0.50       DeNA BayStars     CL         (フォード, DeNA BayStars)
8    Hernandez Darwinzon   9  11  11   0   0   0   0   0   0    0   0   0   0   0   3   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000   27.3%   27.3%    0.0%  0.00      SoftBank Hawks     PL      (ヘルナンデス, SoftBank Hawks)
9        Polanco Gregory   3  12  12   1   2   0   0   1   5    1   0   0   0   0   4   0    0   0    0  0.167  0.167  0.417  0.583    73  0.250  0.143   41.7%   33.3%    0.0%  0.00       Lotte Marines     PL         (ポランコ, Lotte Marines)
10        Martinez Ariel   4  12  11   0   1   0   0   0   1    1   0   0   0   0   4   1    0   0    0  0.091  0.167  0.091  0.258   -17  0.000  0.143   41.7%   33.3%    8.3%  0.25  Nipponham Fighters     PL  (マルティネス, Nipponham Fighters)
11         Moinelo Livan   2   3   2   0   0   0   0   0   0    0   0   0   1   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000   33.3%   33.3%    0.0%  0.00      SoftBank Hawks     PL        (モイネロ, SoftBank Hawks)
12           Montes Coco   1   4   4   0   0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000   50.0%   50.0%    0.0%  0.00      Yomiuri Giants     CL        (モンテス, Yomiuri Giants)
13         Reyes Franmil   6  24  22   2   7   0   0   1  10    1   0   0   0   0  10   2    0   0    0  0.318  0.375  0.455  0.830   151  0.136  0.545   54.2%   41.7%    8.3%  0.20  Nipponham Fighters     PL    (レイエス, Nipponham Fighters)
14        Mannami Chusei   6  24  22   2   7   1   0   1  11    3   0   0   0   0   7   2    0   0    0  0.318  0.375  0.500  0.875   164  0.182  0.429   41.7%   29.2%    8.3%  0.29  Nipponham Fighters     PL   (万波 中正, Nipponham Fighters)
15    Kamikawabata Daigo   6  13  12   1   2   0   0   0   2    0   0   0   0   0   1   0    0   1    2  0.167  0.231  0.167  0.397    24  0.000  0.182    7.7%    7.7%    0.0%  0.00  Nipponham Fighters     PL  (上川畑 大悟, Nipponham Fighters)
16        Nakayama Raito   6  19  19   1   5   0   0   1   8    1   0   0   0   0   4   0    0   0    0  0.263  0.263  0.421  0.684   110  0.158  0.286   26.3%   21.1%    0.0%  0.00      Yomiuri Giants     CL       (中山 礼都, Yomiuri Giants)
17      Nakashima Takuya   1   2   1   0   0   0   0   0   0    0   0   0   1   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -97  0.000  0.000    0.0%    0.0%    0.0%        Nipponham Fighters     PL   (中島 卓也, Nipponham Fighters)
18       Nakagawa Hayate   6   1   1   0   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%             DeNA BayStars     CL         (中川 颯, DeNA BayStars)
19        Nakamura Shogo   2   8   7   2   2   0   0   1   5    1   0   0   0   0   2   0    0   1    0  0.286  0.375  0.714  1.089   225  0.429  0.250   37.5%   25.0%    0.0%  0.00       Lotte Marines     PL        (中村 奨吾, Lotte Marines)
20        Nakamura Akira   3   3   3   0   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%            SoftBank Hawks     PL        (中村 晃, SoftBank Hawks)
21         Nakano Takumu   2   9   9   0   1   0   0   0   1    0   0   0   0   0   1   0    0   0    0  0.111  0.111  0.111  0.222   -32  0.000  0.125   11.1%   11.1%    0.0%  0.00      Hanshin Tigers     CL       (中野 拓夢, Hanshin Tigers)
22        Maru Yoshihiro   6  25  24   0   5   1   0   0   6    0   0   1   0   0   4   1    0   0    1  0.208  0.240  0.250  0.490    53  0.042  0.250   20.0%   16.0%    4.0%  0.25      Yomiuri Giants     CL        (丸 佳浩, Yomiuri Giants)
23          Inoue Haruto   1   1   1   0   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000    0.0%    0.0%    0.0%            Yomiuri Giants     CL       (井上 温大, Yomiuri Giants)
24         Imamiya Kenta   9  37  34   4  14   4   0   1  21    3   0   0   2   0   6   1    0   0    0  0.412  0.405  0.618  1.023   209  0.206  0.481   21.6%   16.2%    2.7%  0.17      SoftBank Hawks     PL       (今宮 健太, SoftBank Hawks)
25           Itoh Hikaru   1   4   3   0   0   0   0   0   0    0   0   0   0   0   0   1    0   0    1  0.000  0.250  0.000  0.250   -16  0.000  0.000   25.0%    0.0%   25.0%  1.00       DeNA BayStars     CL         (伊藤 光, DeNA BayStars)
26         Fushimi Torai   4  10   9   1   2   0   0   1   5    1   0   0   1   0   1   0    0   0    0  0.222  0.200  0.556  0.756   122  0.333  0.143   20.0%   10.0%    0.0%  0.00  Nipponham Fighters     PL   (伏見 寅威, Nipponham Fighters)
27       Sasaki Shunsuke   2   2   2   0   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000    0.0%    0.0%    0.0%            Yomiuri Giants     CL      (佐々木 俊輔, Yomiuri Giants)
28          Sato Teruaki   2   8   8   0   1   1   0   0   2    0   0   0   0   0   5   0    0   0    0  0.125  0.125  0.250  0.375    14  0.125  0.333   62.5%   62.5%    0.0%  0.00      Hanshin Tigers     CL       (佐藤 輝明, Hanshin Tigers)
29         Satoh Toshiya   3  12  11   1   2   1   0   0   3    0   0   0   0   0   2   1    0   0    0  0.182  0.250  0.273  0.523    60  0.091  0.222   25.0%   16.7%    8.3%  0.50       Lotte Marines     PL       (佐藤 都志也, Lotte Marines)
30            Sano Keita  13  52  46   4  10   2   0   2  18    4   0   0   0   0   6   3    0   3    4  0.217  0.308  0.391  0.699   114  0.174  0.211   21.2%   11.5%    5.8%  0.50       DeNA BayStars     CL        (佐野 恵太, DeNA BayStars)
31          Maegawa Ukyo   2   8   7   0   1   0   0   0   1    0   0   0   0   0   3   0    0   1    0  0.143  0.250  0.143  0.393    26  0.000  0.250   37.5%   37.5%    0.0%  0.00      Hanshin Tigers     CL       (前川 右京, Hanshin Tigers)
32    Haraguchi Fumihito   2   2   2   1   1   0   0   1   4    1   0   0   0   0   0   0    0   0    0  0.500  0.500  2.000  2.500   660  1.500  0.000   50.0%    0.0%    0.0%            Hanshin Tigers     CL       (原口 文仁, Hanshin Tigers)
33       Tomosugi Atsuki   3  12  11   0   3   1   0   0   4    1   0   1   1   0   0   0    0   0    0  0.273  0.250  0.364  0.614    86  0.091  0.273    0.0%    0.0%    0.0%             Lotte Marines     PL        (友杉 篤輝, Lotte Marines)
34        Yoshino Teruki   1   1   1   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000         100.0%  100.0%    0.0%  0.00       DeNA BayStars     CL        (吉野 光樹, DeNA BayStars)
35            Shuto Ukyo   9  35  32   3   8   1   0   0   9    2   2   1   0   1   8   2    0   0    0  0.250  0.286  0.281  0.567    75  0.031  0.320   28.6%   22.9%    5.7%  0.25      SoftBank Hawks     PL       (周東 佑京, SoftBank Hawks)
36       Sakamoto Hayato   6  19  17   2   6   1   0   0   7    0   0   0   0   0   3   2    0   0    0  0.353  0.421  0.412  0.833   162  0.059  0.429   26.3%   15.8%   10.5%  0.67      Yomiuri Giants     CL       (坂本 勇人, Yomiuri Giants)
37     Sakamoto Seishiro   1   3   2   0   0   0   0   0   0    0   0   0   0   0   1   1    0   0    0  0.000  0.333  0.000  0.333    12  0.000  0.000   66.7%   33.3%   33.3%  1.00      Hanshin Tigers     CL      (坂本 誠志郎, Hanshin Tigers)
38          Masuda Daiki   4   4   3   1   0   0   0   0   0    0   3   0   0   0   2   1    0   0    0  0.000  0.250  0.000  0.250   -16  0.000  0.000   75.0%   50.0%   25.0%  0.50      Yomiuri Giants     CL       (増田 大輝, Yomiuri Giants)
39        Ohshiro Takumi   3   9   8   0   0   0   0   0   0    0   0   0   0   0   3   1    0   0    2  0.000  0.111  0.000  0.111   -64  0.000  0.000   44.4%   33.3%   11.1%  0.33      Yomiuri Giants     CL       (大城 卓三, Yomiuri Giants)
40         Ohyama Yusuke   2   8   8   1   2   0   0   0   2    0   0   0   0   0   1   0    0   0    0  0.250  0.250  0.250  0.500    58  0.000  0.286   12.5%   12.5%    0.0%  0.00      Hanshin Tigers     CL       (大山 悠輔, Hanshin Tigers)
41       Ohnuki Shinichi   3   4   4   0   0   0   0   0   0    0   0   0   0   0   3   0    0   0    1  0.000  0.000  0.000  0.000   -98  0.000  0.000   75.0%   75.0%    0.0%  0.00       DeNA BayStars     CL        (大貫 晋一, DeNA BayStars)
42          Narama Taiki   1   2   2   0   0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000   -97  0.000         100.0%  100.0%    0.0%  0.00  Nipponham Fighters     PL  (奈良間 大己, Nipponham Fighters)
43       Yasuda Hisanori   1   4   4   1   2   0   0   1   5    1   0   0   0   0   1   0    0   0    0  0.500  0.500  1.250  1.750   416  0.750  0.500   50.0%   25.0%    0.0%  0.00       Lotte Marines     PL        (安田 尚憲, Lotte Marines)
44      Miyazaki Toshiro  14  58  54   3  10   6   0   1  19    2   0   0   0   0  11   3    1   1    1  0.185  0.241  0.352  0.593    80  0.167  0.214   25.9%   19.0%    5.2%  0.27       DeNA BayStars     CL        (宮﨑 敏郎, DeNA BayStars)
45          Obata Ryuhei   2   1   1   0   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000  0.000    0.0%    0.0%    0.0%            Hanshin Tigers     CL       (小幡 竜平, Hanshin Tigers)
46       Kobayashi Seiji   2   4   3   0   2   0   0   0   2    0   0   0   0   0   1   1    0   0    0  0.667  0.750  0.667  1.417   346  0.000  1.000   50.0%   25.0%   25.0%  1.00      Yomiuri Giants     CL       (小林 誠司, Yomiuri Giants)
47       Yamakawa Hotaka   9  35  34   7   9   2   0   4  23    9   0   0   0   0  11   1    0   0    1  0.265  0.286  0.676  0.962   186  0.412  0.263   45.7%   31.4%    2.9%  0.09      SoftBank Hawks     PL       (山川 穂高, SoftBank Hawks)
48         Yamasaki Iori   1   2   2   0   0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000         100.0%  100.0%    0.0%  0.00      Yomiuri Giants     CL       (山﨑 伊織, Yomiuri Giants)
49            Oka Hiromi   3   9   9   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000   11.1%   11.1%    0.0%  0.00       Lotte Marines     PL         (岡 大海, Lotte Marines)
50        Okamoto Kazuma   6  24  18   1   4   0   0   1   7    2   0   0   0   0   4   6    4   0    1  0.222  0.417  0.389  0.806   154  0.167  0.231   45.8%   16.7%   25.0%  1.50      Yomiuri Giants     CL       (岡本 和真, Yomiuri Giants)
51      Kishida Yukinori   4  12   8   1   0   0   0   0   0    1   1   0   2   0   2   2    0   0    0  0.000  0.167  0.000  0.167   -44  0.000  0.000   33.3%   16.7%   16.7%  1.00      Yomiuri Giants     CL       (岸田 行倫, Yomiuri Giants)
