                Pitcher   G  W  L  SV  CG  SHO  BF    IP   H  HR  SO  BB  IBB  HB  WP  R  ER    ERA    FIP  kwERA   WHIP ERA+  FIP- kwERA-   Diff     HR%      K%    BB%   K-BB%                Team League                           keys
0        Wendelken J.B.   5  0  0   0   0    0  17   4.2   3   0   3   1    0   0   1  1   1   1.93   2.45   3.62   0.86  148    72    111  -0.52    0.0%   17.6%   5.9%   11.7%       DeNA BayStars     CL       (ウェンデルケン, DeNA BayStars)
1         Osuna Roberto   5  0  0   3   0    0  22   5.0   6   0   4   0    0   0   0  3   2   3.60   1.49   2.98   1.20   79    44     91   2.11    0.0%   18.2%   0.0%   18.2%      SoftBank Hawks     PL          (オスナ, SoftBank Hawks)
2        Griffin Foster   1  0  0   0   0    0  18   4.0   3   1   4   2    0   1   0  1   1   2.25   6.59   3.69   1.25  123   199    113  -4.34    5.6%   22.2%  11.1%   11.1%      Yomiuri Giants     CL        (グリフィン, Yomiuri Giants)
3           Kay Anthony   3  2  0   0   0    0  66  16.1   7   0  16   9    1   0   0  2   1   0.55   2.78   3.74   0.98  517    81    114  -2.23    0.0%   24.2%  13.6%   10.6%       DeNA BayStars     CL            (ケイ, DeNA BayStars)
4           Keller Kyle   4  1  0   0   0    0  13   3.2   1   0   4   2    0   0   0  0   0   0.00   2.54   3.26   0.82  999    77    100  -2.54    0.0%   30.8%  15.4%   15.4%      Yomiuri Giants     CL          (ケラー, Yomiuri Giants)
5         Jackson Andre   4  2  2   0   0    0  99  23.2  16   1  29  12    1   1   1  7   6   2.28   2.83   3.08   1.18  125    83     94  -0.55    1.0%   29.3%  12.1%   17.2%       DeNA BayStars     CL         (ジャクソン, DeNA BayStars)
6    Stewart Jr. Carter   3  1  0   0   0    0  45   9.1  10   1   7   6    0   0   0  8   8   7.71   4.91   4.58   1.71   37   144    140   2.80    2.2%   15.6%  13.3%    2.3%      SoftBank Hawks     PL  (スチュワート・ジュニア, SoftBank Hawks)
7     Baldonado Alberto   4  0  0   0   0    0  15   3.2   4   0   4   2    0   0   0  0   0   0.00   2.54   3.47   1.64  999    77    106  -2.54    0.0%   26.7%  13.3%   13.4%      Yomiuri Giants     CL       (バルドナード, Yomiuri Giants)
8         VerHagen Drew   1  0  0   0   0    0   7   2.0   1   0   2   0    0   0   0  0   0   0.00   1.09   1.94   0.50  999    32     59  -1.09    0.0%   28.6%   0.0%   28.6%  Nipponham Fighters     PL   (バーヘイゲン, Nipponham Fighters)
9   Hernandez Darwinzon   6  0  0   0   0    0  21   6.0   3   0  10   0    0   1   0  0   0   0.00   0.25   0.04   0.50  999     7      1  -0.25    0.0%   47.6%   0.0%   47.6%      SoftBank Hawks     PL       (ヘルナンデス, SoftBank Hawks)
10        Moinelo Livan   2  2  0   0   0    0  56  12.2  16   0  10   2    0   1   0  5   5   3.55   2.22   3.37   1.42   80    65    103   1.33    0.0%   17.9%   3.6%   14.3%      SoftBank Hawks     PL         (モイネロ, SoftBank Hawks)
11    Kamichatani Taiga   1  0  0   0   0    0   5   1.0   2   1   1   0    0   0   0  1   1   9.00  14.09   2.80   2.00   32   412     86  -5.09   20.0%   20.0%   0.0%   20.0%       DeNA BayStars     CL        (上茶谷 大河, DeNA BayStars)
12      Nakagawa Hayate   6  0  0   0   0    0  22   6.1   2   0   7   0    0   0   0  0   0   0.00   0.88   1.62   0.32  999    26     50  -0.88    0.0%   31.8%   0.0%   31.8%       DeNA BayStars     CL          (中川 颯, DeNA BayStars)
13         Inoue Haruto   1  0  0   0   0    0  19   6.0   1   1   6   0    0   0   0  1   1   1.50   3.25   1.64   0.17  184    98     50  -1.75    5.3%   31.6%   0.0%   31.6%      Yomiuri Giants     CL        (井上 温大, Yomiuri Giants)
14           Ise Hiromu   9  1  0   1   0    0  38  10.0   5   0  10   3    1   0   0  0   0   0.00   1.99   2.96   0.80  999    58     91  -1.99    0.0%   26.3%   7.9%   18.4%       DeNA BayStars     CL         (伊勢 大夢, DeNA BayStars)
15          Itoh Hiromi   1  0  1   0   0    0  26   5.2  10   2   9   0    0   0   0  4   4   6.35   4.50   1.34   1.76   45   130     41   1.85    7.7%   34.6%   0.0%   34.6%  Nipponham Fighters     PL    (伊藤 大海, Nipponham Fighters)
16       Sasaki Chihaya   4  1  0   0   0    0  12   3.2   1   0   0   1    0   0   0  0   0   0.00   3.91   5.63   0.55  999   114    172  -3.91    0.0%    0.0%   8.3%   -8.3%       DeNA BayStars     CL        (佐々木 千隼, DeNA BayStars)
17          Sasaki Roki   1  1  0   0   0    0  28   8.0   5   0   9   2    0   0   0  0   0   0.00   1.59   2.30   0.88  999    46     70  -1.59    0.0%   32.1%   7.1%   25.0%       Lotte Marines     PL        (佐々木 朗希, Lotte Marines)
18            Maeda Jun   2  0  0   0   0    0  13   3.0   3   1   4   0    0   1   0  3   3   9.00   5.75   1.72   1.00   32   168     53   3.25    7.7%   30.8%   0.0%   30.8%      SoftBank Hawks     PL         (前田 純, SoftBank Hawks)
19       Katoh Takayuki   2  0  2   0   0    0  33   8.0  12   3   4   0    0   0   0  6   6   6.75   6.96   3.59   1.50   43   202    110  -0.21    9.1%   12.1%   0.0%   12.1%  Nipponham Fighters     PL    (加藤 貴之, Nipponham Fighters)
20        Kitayama Koki   1  0  0   0   0    0  21   4.2   5   0   4   2    0   0   0  2   2   3.86   2.66   3.85   1.50   75    77    118   1.20    0.0%   19.0%   9.5%    9.5%  Nipponham Fighters     PL    (北山 亘基, Nipponham Fighters)
21       Yoshino Teruki   1  0  0   0   0    0  14   3.0   4   1   3   3    2   0   0  1   1   3.00   8.42   4.80   2.33   95   246    147  -5.42    7.1%   21.4%  21.4%    0.0%       DeNA BayStars     CL         (吉野 光樹, DeNA BayStars)
22        Sakamoto Yuya  10  1  0   0   0    0  29   8.2   3   0   8   1    1   0   0  0   0   0.00   1.59   2.39   0.46  999    47     73  -1.59    0.0%   27.6%   3.4%   24.2%       DeNA BayStars     CL         (坂本 裕哉, DeNA BayStars)
23       Horioka Hayato   4  0  0   0   0    0  17   4.0   5   0   3   1    0   0   0  3   2   4.50   2.34   3.62   1.50   63    68    111   2.16    0.0%   17.6%   5.9%   11.7%       DeNA BayStars     CL         (堀岡 隼人, DeNA BayStars)
24           Ota Taisei   3  0  0   2   0    0  15   3.0   2   0   7   2    0   2   0  0   0   0.00   2.42   1.47   1.33  999    73     45  -2.42    0.0%   46.7%  13.3%   33.4%      Yomiuri Giants     CL           (大勢, Yomiuri Giants)
25        Ohtsu Ryosuke   1  0  1   0   0    0   5   0.1   2   1   0   2    0   0   0  2   2  54.00  60.09   8.80  12.00    5  1758    269  -6.09   20.0%    0.0%  40.0%  -40.0%      SoftBank Hawks     PL        (大津 亮介, SoftBank Hawks)
26      Ohnuki Shinichi   3  1  1   0   0    0  57  13.0  17   2  14   3    0   0   0  8   7   4.85   3.63   2.87   1.54   59   106     88   1.22    3.5%   24.6%   5.3%   19.3%       DeNA BayStars     CL         (大貫 晋一, DeNA BayStars)
27      Ohzeki Tomohisa   1  0  1   0   0    0  16   2.2   4   0   2   3    0   1   0  1   1   3.38   6.09   5.42   2.63   84   178    166  -2.71    0.0%   12.5%  18.8%   -6.3%      SoftBank Hawks     PL        (大関 友久, SoftBank Hawks)
