Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League,keys
<a href=https://npb.jp/bis/eng/players/01505132.html>Okoye Louis</a>,6.0,20.0,19.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.158,0.150,0.211,0.361,11,0.053,0.300,45.0%,45.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('オコエ 瑠偉', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/73375151.html>Austin Tyler</a>,13.0,54.0,43.0,4.0,11.0,4.0,0.0,3.0,24.0,7.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,1.0,1.0,0.256,0.407,0.558,0.966,193,0.302,0.333,53.7%,29.6%,18.5%,0.62,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('オースティン', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/03705157.html>Griffin Foster</a>,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('グリフィン', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/13715159.html>Kay Anthony</a>,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('ケイ', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/43745159.html>Jackson Andre</a>,4.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.250,0.200,0.250,0.450,38,0.000,0.500,40.0%,40.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('ジャクソン', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/03505136.html>Soto Neftali</a>,3.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.000,0.167,0.000,0.167,-43,0.000,0.000,41.7%,25.0%,16.7%,0.67,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('ソト', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/43245159.html>Downs Jeter</a>,6.0,16.0,14.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.214,0.312,0.214,0.527,66,0.000,0.273,31.2%,18.8%,12.5%,0.67,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('ダウンズ', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/03205159.html>Ford Mike</a>,12.0,17.0,15.0,1.0,5.0,1.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.333,0.412,0.600,1.012,206,0.267,0.333,23.5%,11.8%,5.9%,0.50,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('フォード', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/33435157.html>Hernandez Darwinzon</a>,9.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,0.000,27.3%,27.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('ヘルナンデス', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/63065155.html>Polanco Gregory</a>,3.0,12.0,12.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.167,0.167,0.417,0.583,73,0.250,0.143,41.7%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('ポランコ', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/73975136.html>Martinez Ariel</a>,4.0,12.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.091,0.167,0.091,0.258,-17,0.000,0.143,41.7%,33.3%,8.3%,0.25,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('マルティネス', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/63965134.html>Moinelo Livan</a>,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,0.000,33.3%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('モイネロ', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/23225159.html>Montes Coco</a>,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-101,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('モンテス', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/73075159.html>Reyes Franmil</a>,6.0,24.0,22.0,2.0,7.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.318,0.375,0.455,0.830,151,0.136,0.545,54.2%,41.7%,8.3%,0.20,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('レイエス', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/11815138.html>Mannami Chusei</a>,6.0,24.0,22.0,2.0,7.0,1.0,0.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.318,0.375,0.500,0.875,164,0.182,0.429,41.7%,29.2%,8.3%,0.29,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('万波 中正', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/01505155.html>Kamikawabata Daigo</a>,6.0,13.0,12.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.167,0.231,0.167,0.397,24,0.000,0.182,7.7%,7.7%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('上川畑 大悟', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/51655153.html>Nakayama Raito</a>,6.0,19.0,19.0,1.0,5.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.263,0.263,0.421,0.684,110,0.158,0.286,26.3%,21.1%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('中山 礼都', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/11215118.html>Nakashima Takuya</a>,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-97,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('中島 卓也', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/21425153.html>Nakagawa Hayate</a>,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('中川 颯', 'DeNA BayStars')"
