Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League,keys
<a href=https://npb.jp/bis/eng/players/13715157.html>Wendelken J.B.</a>,5.0,0.0,0.0,0.0,0.0,0.0,17.0,4.2,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.93,2.45,3.62,0.86,148,72,111,-0.52,0.0%,17.6%,5.9%,11.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('ウェンデルケン', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/13415155.html>Osuna Roberto</a>,5.0,0.0,0.0,3.0,0.0,0.0,22.0,5.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,3.60,1.49,2.98,1.20,79,44,91,2.11,0.0%,18.2%,0.0%,18.2%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('オスナ', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/03705157.html>Griffin Foster</a>,1.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,3.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,2.25,6.59,3.69,1.25,123,199,113,-4.34,5.6%,22.2%,11.1%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('グリフィン', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/13715159.html>Kay Anthony</a>,3.0,2.0,0.0,0.0,0.0,0.0,66.0,16.1,7.0,0.0,16.0,9.0,1.0,0.0,0.0,2.0,1.0,0.55,2.78,3.74,0.98,517,81,114,-2.23,0.0%,24.2%,13.6%,10.6%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('ケイ', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/73975155.html>Keller Kyle</a>,4.0,1.0,0.0,0.0,0.0,0.0,13.0,3.2,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00,2.54,3.26,0.82,999,77,100,-2.54,0.0%,30.8%,15.4%,15.4%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('ケラー', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/43745159.html>Jackson Andre</a>,4.0,2.0,2.0,0.0,0.0,0.0,99.0,23.2,16.0,1.0,29.0,12.0,1.0,1.0,1.0,7.0,6.0,2.28,2.83,3.08,1.18,125,83,94,-0.55,1.0%,29.3%,12.1%,17.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('ジャクソン', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/53755138.html>Stewart Jr. Carter</a>,3.0,1.0,0.0,0.0,0.0,0.0,45.0,9.1,10.0,1.0,7.0,6.0,0.0,0.0,0.0,8.0,8.0,7.71,4.91,4.58,1.71,37,144,140,2.80,2.2%,15.6%,13.3%,2.3%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('スチュワート・ジュニア', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/23225157.html>Baldonado Alberto</a>,4.0,0.0,0.0,0.0,0.0,0.0,15.0,3.2,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00,2.54,3.47,1.64,999,77,106,-2.54,0.0%,26.7%,13.3%,13.4%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('バルドナード', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/33735151.html>VerHagen Drew</a>,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.09,1.94,0.50,999,32,59,-1.09,0.0%,28.6%,0.0%,28.6%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('バーヘイゲン', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/33435157.html>Hernandez Darwinzon</a>,6.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00,0.25,0.04,0.50,999,7,1,-0.25,0.0%,47.6%,0.0%,47.6%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('ヘルナンデス', 'SoftBank Hawks')"
